Cedula,FechaNacimiento,Alelo1,Alelo2,Tratamiento,GrupoMetabolico,Pais,Ciudad
6-0588-0303,12/12/1962,*12,*2A,Clopidogrel,No conocido,Costa Rica,San Jose
6-0672-0349,8/20/1979,*5B,*25,Clopidogrel,Lento,Costa Rica,Limon
5-0120-0127,9/19/1973,*30,*2F,Clopidogrel,No conocido,Costa Rica,Cartago
4-0411-0491,1/29/1978,*19,*4A,Clopidogrel,Lento,Costa Rica,Heredia
5-0078-0958,8/28/1950,*23,*15,Clopidogrel,No conocido,Costa Rica,San Jose
3-0759-0015,5/10/1985,*33,*29,Clopidogrel,No conocido,Costa Rica,San Jose
6-0148-0089,10/2/1967,*30,*16,Clopidogrel,No conocido,Costa Rica,Limon
5-0649-0050,12/9/1994,*1B,*22,Clopidogrel,Normal,Costa Rica,San Jose
2-0907-0021,8/24/1983,*2G,*24,Clopidogrel,Lento,Costa Rica,San Jose
5-0339-0033,1/29/1989,*11,*2B,Clopidogrel,Normal,Costa Rica,San Jose
5-0159-0539,8/14/1960,*34,*2G,Clopidogrel,No conocido,Costa Rica,Limon
7-0192-0604,12/3/1965,*11,*1A,Clopidogrel,Normal,Costa Rica,Limon
1-0401-0342,2/4/1968,*28,*1B,Clopidogrel,Normal,Costa Rica,Alajuela
2-0289-0774,11/12/1987,*2D,*2C,Clopidogrel,Lento,Costa Rica,Guanacaste
5-0211-0745,9/29/1952,*29,*2G,Clopidogrel,No conocido,Costa Rica,Guanacaste
4-0984-0390,6/15/1979,*4A,*1C,Clopidogrel,Normal,Costa Rica,Alajuela
3-0338-0995,10/18/2016,*11,*4B,Clopidogrel,Normal,Costa Rica,Puntarenas
5-0271-0241,5/21/1993,*3A,*2J,Clopidogrel,Lento,Costa Rica,Cartago
5-0666-0648,9/28/1981,*26,*2G,Clopidogrel,Lento,Costa Rica,Guanacaste
1-0488-0872,1/7/1992,*17,*30,Clopidogrel,No conocido,Costa Rica,Heredia
7-0490-0227,6/5/1994,*34,*2A,Clopidogrel,No conocido,Costa Rica,Cartago
6-6601-0694,12/28/1986,*8,*14,Clopidogrel,No conocido,Costa Rica,Guanacaste
5-0374-7059,5/16/1981,*2D,*7,Clopidogrel,Lento,Costa Rica,San Jose
6-0394-0447,2/21/1994,*10,*3B,Clopidogrel,Lento,Costa Rica,Puntarenas
7-0287-0374,4/12/1964,*1B,*3C,Clopidogrel,Normal,Costa Rica,Heredia
5-0446-0448,4/3/1973,*9,*27,Clopidogrel,No conocido,Costa Rica,Cartago
1-0661-0824,4/30/1954,*3B,*3C,Clopidogrel,Lento,Costa Rica,Heredia
2-0452-0976,11/19/1956,*29,*34,Clopidogrel,No conocido,Costa Rica,Limon
2-0503-0516,2/14/1996,*2C,*2B,Clopidogrel,Lento,Costa Rica,Cartago
7-0636-0211,9/7/1999,*17,*35,Clopidogrel,Normal,Costa Rica,Puntarenas
7-1053-0677,3/20/1987,*24,*31,Clopidogrel,No conocido,Costa Rica,San Jose
3-1709-0343,2/7/1966,*1A,*2A,Clopidogrel,Normal,Costa Rica,Puntarenas
2-0957-0336,11/10/1963,*2E,*23,Clopidogrel,No conocido,Costa Rica,Guanacaste
4-1000-0986,12/16/1967,*33,*2J,Clopidogrel,No conocido,Costa Rica,Guanacaste
4-0300-0162,10/1/1990,*4B,*3B,Clopidogrel,Lento,Costa Rica,Guanacaste
4-0135-0689,3/18/2012,*4B,*13,Clopidogrel,Normal,Costa Rica,Cartago
3-0585-0326,11/26/1995,*3A,*4B,Clopidogrel,Lento,Costa Rica,Heredia
6-0898-0193,9/10/1963,*23,*26,Clopidogrel,No conocido,Costa Rica,Heredia
7-0784-0899,7/10/1973,*12,*31,Clopidogrel,No conocido,Costa Rica,Heredia
2-0613-0351,2/27/1986,*2G,*2F,Clopidogrel,Lento,Costa Rica,Guanacaste
3-0817-0365,7/9/1952,*2E,*28,Clopidogrel,No conocido,Costa Rica,San Jose
4-0638-0965,6/1/2005,*28,*2A,Clopidogrel,Normal,Costa Rica,San Jose
